text,label,label_quality_score,is_label_issue,pred_prob_normal,pred_prob_smishing
너희들 벌써 학교에 가니?,1,0.0077519785,True,0.99224806,0.0077519785
나중에 아이스크림?,1,0.007755739,True,0.9922443,0.007755739
지금 집에 가는데.,1,0.007760793,True,0.99223924,0.007760793
ㅋㅋㅋ 그 밈이 딱 맞았어! ??,1,0.0077611017,True,0.9922389,0.0077611017
ㅋㅋㅋ 이해하는데 너무 오래걸림,1,0.007763147,True,0.9922368,0.007763147
우리 반 모두가 마인드맵을 건네줬나요?,1,0.0077650314,True,0.99223495,0.0077650314
ㅋㅋㅋ 다 끌어당겨!,1,0.0077744317,True,0.9922255,0.0077744317
그러면 밤에는 몇 시쯤 끝나나요?,1,0.0077745453,True,0.9922254,0.0077745453
야 라바는 어때?,1,0.007779255,True,0.9922207,0.007779255
나 언제쯤 우리 농장에 가볼 거야,1,0.0077802194,True,0.9922198,0.0077802194
어디로 갔나요?,1,0.007781961,True,0.992218,0.007781961
NAME?,1,0.007782889,True,0.99221706,0.007782889
NAME?,1,0.007782889,True,0.99221706,0.007782889
NAME?,1,0.007782889,True,0.99221706,0.007782889
NAME?,1,0.007782889,True,0.99221706,0.007782889
NAME?,1,0.007782889,True,0.99221706,0.007782889
NAME?,1,0.007782889,True,0.99221706,0.007782889
그 사람이 이미 폴리를 졸업한 줄 알았는데?,1,0.007784524,True,0.99221545,0.007784524
그럼 일은 어때요?,1,0.0077853785,True,0.9922146,0.0077853785
나는 당구장에 있어요,1,0.0077887014,True,0.99221134,0.0077887014
라켓을 찾았나요?,1,0.007793188,True,0.9922069,0.007793188
마찬 포장지 가져왔어,1,0.007796049,True,0.99220395,0.007796049
우리 집에서 마작을 하네 친구.,1,0.007798809,True,0.9922012,0.007798809
도달했나요?,1,0.007803231,True,0.9921968,0.007803231
당신의 식당은 무엇입니까? 집이나 거기에서 드시나요?,1,0.007806085,True,0.99219394,0.007806085
우리는 휴게실 뒤에 앉아 있습니다.... 그 도랑,1,0.0078079207,True,0.9921921,0.0078079207
뭐? 잘못된 사람에게 보냈나요?,1,0.007827471,True,0.9921725,0.007827471
얼마나 더 걸릴까요? 이제 어느 역에서요?,1,0.007830509,True,0.99216956,0.007830509
응 괜찮을 거야.,1,0.007831046,True,0.99216896,0.007831046
하하하하 사진이 많이 없네요 ㅋㅋㅋ,1,0.007836564,True,0.9921634,0.007836564
그게 어디야?,1,0.0078375945,True,0.9921624,0.0078375945
우리 3명은 버스를 타야 해요.,1,0.007840955,True,0.992159,0.007840955
K..왜요?,1,0.007842205,True,0.9921578,0.007842205
장난꾸러기야...,1,0.007848837,True,0.99215114,0.007848837
알았어... 시도해 볼게... 존은 사용하지 않았지만...,1,0.007849067,True,0.9921509,0.007849067
알아요! 그런데 그때쯤!,1,0.007850625,True,0.99214935,0.007850625
"맙소사, 정말 대단해요! ??",1,0.007851403,True,0.9921485,0.007851403
어 3/4 같군요 ㅋㅋㅋ 스튜어트 만날 때 아.,1,0.0078601865,True,0.9921399,0.0078601865
5분 안에 집에 도착해요.,1,0.007861618,True,0.9921383,0.007861618
너희들과 어울리고 싶어! 정말 대단할 거예요.,1,0.00786813,True,0.9921319,0.00786813
알겠습니다.. 로즈도 오나요? 거기로 가는 방법?,1,0.007870464,True,0.9921295,0.007870464
그렇죠 그런데 와 당신 정말 멀리까지 스윙할 수 있군요,1,0.007882493,True,0.9921176,0.007882493
아니... 일단은 쉬어갈까 생각중 b4 하나 찾아보는데...,1,0.0078833755,True,0.99211663,0.0078833755
하지만 돌아오겠다고 약속했잖아! 넌 어떻게 할 수 있어???,1,0.007883984,True,0.99211603,0.007883984
가는 길에 도착하면 전화해,1,0.007888632,True,0.9921113,0.007888632
나 지금 집에 있어,1,0.007896403,True,0.9921036,0.007896403
하하 야 로... nvm 1시에 자려고 그럼... 와 와 ! 또 다른 대접을 받을까 ㅋㅋㅋ...,1,0.007896855,True,0.99210316,0.007896855
왓! 체육관 때 수요일,1,0.007902655,True,0.9920974,0.007902655
뭐 때문에 스트레스를 받았나요? 왜 그래 시안?,1,0.007902759,True,0.99209726,0.007902759
아. 집행유예는 아닌데.. 그런데 왜 수요일까지는 안되나요?,1,0.0079231905,True,0.9920769,0.0079231905
오렌지색 펜과 핫핑크색 펜이 있나요?,1,0.007927664,True,0.9920724,0.007927664
"아,. 알았어.. 그럼 나가서 다 지에를 데려올래? 하하",1,0.007927697,True,0.9920723,0.007927697
무엇??? 잠자리에 들었나요?,1,0.007930967,True,0.992069,0.007930967
하하하 비비안과 함께 비밀 기지를 노래해요ㅋㅋㅋ,1,0.007940882,True,0.9920591,0.007940882
나 그냥 카페에 들러서 CD를 인쇄해,1,0.007946117,True,0.99205387,0.007946117
무엇을 보내야 하나요?,1,0.007967707,True,0.9920323,0.007967707
기회가 생기면 말해주세요. 하하.,1,0.007972785,True,0.9920272,0.007972785
"흠.... 대부분 옷과 액세서리죠... 하하, 여자들이 살 수 있는 게 또 뭐죠...",1,0.007974728,True,0.99202526,0.007974728
ㅋㅋㅋ 와 내가 정말 스토커라면 다 누군가 덕분이야 에.,1,0.007974901,True,0.99202514,0.007974901
? 확인됐다는 뜻이야... 오니라고 말할 것 같은데... 알았어...,1,0.007982306,True,0.99201775,0.007982306
지금 TV를 보고 있어요.. 당신?,1,0.0079833185,True,0.9920167,0.0079833185
진짜 시작하자,1,0.008014965,True,0.99198496,0.008014965
거기까지 끝났어...,1,0.0080189705,True,0.991981,0.0080189705
맥은 또 나 없이 항상 먹잖아... 너 정말 끔찍해... 넌 내가 하나도 그리워하지 않아... 너무 끔찍해...,1,0.008026339,True,0.99197364,0.008026339
나도 몰라. 인디 모닝 틸 2 플러스,1,0.0080389995,True,0.99196094,0.0080389995
ㅋㅋㅋ 아직도 잠이 안 와요. 영화를 보는 중,1,0.008041011,True,0.991959,0.008041011
좋은 아침이에요 !!,1,0.008089012,True,0.991911,0.008089012
와우 정말 똑똑해요 체스터!!!!!!7!!!!!!!!!!!!,1,0.00809489,True,0.9919051,0.00809489
